roi_number,Area,Biovolume
3,602,6270.157227
4,753,3942.194336
5,366,4542.742977
7,717,13049.39048
8,440,5699.634472
9,355,4510.541652
10,323,3502.090411
11,321,3493.451031
13,232,2366.404666
14,303,2417.993164
15,336,3758.91561
16,362,3947.411169
17,291,1184.036133
18,499,6922.499412
19,408,4940.939846
20,352,3649.745265
21,274,2537.621466
22,415,5217.399999
23,376,4195.596989
24,322,3606.548366
25,302,3272.754147
26,336,3809.966491
27,294,3132.167876
28,324,3566.49306
29,828,10903.6827
30,289,2922.466566
31,1572,25377.00006
32,632,10613.87078
33,414,5093.30709
34,640,10970.44155
36,380,4625.209784
37,316,2596.526328
38,424,5432.599096
39,376,3333.455566
40,298,2400.204102
41,536,8108.450639
42,297,3198.92672
43,375,4323.61689
44,369,4389.590335
45,789,14379.06958
46,443,5656.437573
47,418,4069.933283
48,577,5544.911034
49,372,3216.205479
50,497,6987.68746
51,420,4418.650067
52,427,5233.893361
53,386,3290.818305
55,492,7226.448501
56,319,3183.218756
57,400,5333.638928
59,494,7261.006021
60,470,6263.550353
61,352,3382.70989
62,525,6699.446334
63,453,5701.990666
66,371,4444.568207
67,320,3363.860334
68,388,4658.981905
69,824,9811.193857
70,323,3394.490862
71,1173,25574.92039
72,665,11157.36631
73,306,3353.650158
74,394,3606.548366
75,494,6642.112268
76,336,3370.143519
77,346,3536.64793
78,417,5068.174348
79,987,8509.925781
81,1005,12810.62944
82,400,4953.506217
83,317,3268.041758
85,205,1305.597168
86,1906,39710.51654
87,319,3462.820502
88,428,6261.979557
89,389,4641.703146
91,294,2585.530754
92,447,5615.596868
93,399,4830.984103
94,679,8311.083365
95,415,3942.69878
96,402,4787.787204
97,445,4652.029785
98,297,2582.389161
99,442,5628.163239
100,282,2149.064209
102,365,3876.725335
104,567,5826.868974
105,387,3665.453229
106,295,3007.289568
108,338,3654.457654
110,374,4525.464217
111,340,4183.816016
112,384,4583.583682
113,450,6021.647719
114,461,5386.260605
115,350,4355.818214
116,277,2362.477675
118,325,3677.234201
119,230,973.0744019
120,370,4208.163359
121,335,4305.552732
122,310,3062.267439
123,743,8121.802408
124,237,2224.247599
125,383,4581.227487
126,433,5833.937558
127,329,3738.495258
128,656,10765.45263
129,396,4812.919945
130,385,3681.784912
131,410,5203.262833
132,461,6161.448592
133,376,4421.006262
134,324,3786.404546
135,286,2821.935601
136,567,9084.700556
137,450,6058.561432
138,371,4201.094776
139,272,2477.931206
140,534,7606.581213
141,268,2587.886948
142,264,1100.936768
143,428,3781.692157
144,422,5522.134487
145,261,2503.063947
147,294,2788.16348
148,440,5698.063675
149,449,5903.837994
150,692,8812.167393
151,385,3191.072738
152,586,6020.076922
153,343,3817.820472
154,414,4966.072587
155,508,7426.725033
156,514,7012.820201
158,346,3802.897907
159,314,3418.838205
160,338,3213.063886
162,624,6787.410928
163,450,6203.860093
164,423,4029.092578
165,355,4091.139033
166,270,2428.451121
167,365,3649.745265
168,348,3993.749661
169,311,3342.654583
170,325,3749.490832
171,468,6078.196387
172,354,3961.548336
173,450,6227.422038
174,9470,590915.514
175,321,2814.867018
176,310,3351.293963
177,325,3436.116965
178,399,4295.342556
180,354,4182.24522
181,514,5289.819336
182,444,4991.990727
183,436,5901.4818
185,274,2719.048442
186,422,5203.262833
187,473,6341.304771
188,466,6481.105644
189,477,6439.479542
190,400,4955.862411
191,345,4014.170013
192,315,3356.006352
193,531,7802.930753
194,380,4290.630167
195,408,5301.437603
197,317,3258.61698
198,501,5364.269456
199,408,3782.701416
200,470,6042.068071
201,413,4942.510642
202,1453,22315.05664
205,356,4428.860243
206,417,5211.902212
208,208,1307.071533
210,302,2473.461182
211,312,3209.922294
212,372,3080.331597
213,327,2504.634743
215,325,3680.375794
216,498,6856.525966
217,271,2978.229836
218,882,4618.141201
220,476,7085.86223
221,418,5585.751738
223,372,4145.331506
224,620,10352.33319
225,307,3896.360289
226,492,5688.638897
227,427,5889.700827
228,429,5581.039349
229,283,2881.625862
230,317,3002.577179
231,380,4555.309348
232,338,3729.07048
233,377,4355.818214
234,890,3644.320068
235,344,3629.324913
237,245,1803.274183
238,930,3468.706787
239,400,4948.793828
240,572,9250.419568
241,366,4069.147885
242,344,3963.119133
243,455,4508.970856
244,458,5794.66765
245,589,6214.855667
246,582,5869.280475
247,493,7011.249405
248,275,2836.072768
249,401,4820.773927
250,445,6119.037091
251,573,6048.351256
252,302,3217.776275
253,360,4566.304922
254,355,3794.258527
255,368,4011.813819
256,263,2299.645822
258,359,2762.245341
259,463,6874.590124
260,697,8262.388679
261,265,2479.502002
262,399,4460.27617
263,304,2612.593994
264,355,3059.911245
265,25867,2770831.313
266,398,4964.501791
267,389,3304.955472
268,400,4596.93545
269,474,6496.028209
271,415,5640.72961
272,400,4704.534999
273,416,5321.857955
274,507,7542.963961
275,380,4302.411139
276,374,4708.46199
278,275,2357.765287
279,510,7739.313502
280,370,4024.380189
281,268,2435.519705
282,277,2682.920126
283,321,3173.793978
285,331,3566.49306
286,980,3975.092041
287,540,8179.921872
288,429,5550.408821
289,325,4233.296101
290,367,4139.833719
291,298,2429.236519
292,319,3625.397922
293,439,5814.302604
294,351,2798.2229
297,346,2315.5979
298,403,1367.50354
299,339,3594.767394
300,443,5471.083606
301,5414,271233.3287
302,568,5811.161011
304,1814,50003.15947
305,341,3962.333734
306,358,4227.798314
307,344,3615.187746
308,413,5142.787174
309,935,13531.4541
310,345,4027.521782
311,364,4311.835917
312,353,3747.920036
313,391,4885.176576
314,371,4744.590305
315,438,6064.05922
316,482,7281.426373
317,491,7830.419689
318,298,2980.58603
319,407,5259.026102
320,381,4504.258467
321,294,2887.123649
322,2238,10973.60645
323,2965,6250.072754
324,706,12983.41704
325,343,3998.46205
326,535,7885.397561
327,549,5601.459701
328,267,2128.429023
330,274,2913.827186
331,305,3516.227578
332,431,5449.877856
333,468,6414.3468
335,301,3069.336023
336,1043,18729.39
337,425,5075.242932
338,1233,35538.4815
339,870,10468.57212
340,351,3723.572693
341,366,4202.665572
342,315,3542.931115
343,552,4645.074219
344,1438,31657.04377
345,335,3985.895679
347,688,3098.256348
348,447,5951.747282
349,385,5332.853529
352,461,6137.886647
353,1162,23133.9029
354,453,6211.714074
355,777,10775.6628
356,724,11009.71145
357,300,2684.490922
359,441,6223.495047
360,1357,33281.24717
361,437,5522.919885
363,667,10822.00129
364,354,3696.869155
365,393,4867.897817
366,12256,808362.4203
367,473,2157.883789
368,357,3468.31829
369,351,4531.747403
370,262,2602.024115
371,389,5002.200903
372,1101,4537.650879
373,279,2471.64802
374,284,2765.386933
375,337,3611.260755
376,376,4084.855848
377,745,9055.640824
378,310,2858.849315
379,370,4587.510672
381,959,19583.11781
382,266,2075.021948
383,324,3983.539485
384,344,3231.128044
385,383,5149.855757
386,268,2320.851573
387,2320,33535.69531
388,1200,4633.681152
389,264,2349.125907
390,475,6146.526027
392,3949,193376.8088
393,1374,5828.841309
394,464,6383.716272
395,440,5988.660996
396,288,2725.331627
397,444,4748.517296
398,469,1735.423462
399,708,7668.627667
400,337,3773.838175
402,335,3555.497486
403,821,15839.12476
404,315,3345.796176
406,445,5785.242872
407,247,2361.692277
410,335,3711.79172
411,362,3901.072678
412,1148,17155.20117
413,376,4309.479723
414,275,2563.539605
415,766,9288.11868
416,561,6122.964082
417,308,3310.453259
419,320,3033.207707
420,351,4335.397862
421,493,6813.329067
422,2493,40714.82031
423,490,7089.789221
424,297,3663.882432
425,463,4256.072647
426,1098,13792.39063
427,1021,19533.63772
428,444,5767.964112
430,313,2375.044046
431,352,3886.150112
432,358,4062.864699
433,311,3283.749721
434,318,3063.838235
436,316,3528.793948
438,420,5378.406623
439,2223,59331.33346
440,301,2782.665693
441,284,3058.340448
442,370,4606.360228
443,888,14122.24438
444,282,2666.426765
445,454,6319.313623
446,388,4448.495197
447,418,5538.627848
448,266,2396.249797
449,8713,569320.2061
450,350,3705.508535
451,435,5805.663224
452,269,2825.077194
453,697,7925.452867
455,532,7653.705102
456,331,3615.973144
457,283,2978.229836
458,460,6527.444136
459,376,4623.638988
460,249,2407.245371
461,297,3230.342646
462,333,3471.459882
463,520,7943.517025
464,414,1648.541748
465,857,3651.57959
466,377,4832.554899
467,504,6667.245009
468,416,5492.289357
469,304,2784.236489
470,388,4783.074815
471,579,5960.386662
472,381,4521.537227
473,455,6151.238416
474,300,2694.701099
475,377,4815.27614
476,437,5542.554839
477,472,5077.599126
478,1565,5545.088379
479,1859,20208.7168
480,653,10010.68499
481,502,7355.2538
483,450,5804.092428
484,645,10603.6606
485,565,8828.660755
486,594,2382.770264
487,565,8128.085593
488,474,6496.028209
489,284,2530.552882
490,445,5426.315911
491,422,5235.464157
492,443,4062.864699
493,357,3919.136835
494,290,3201.282914
495,335,3641.105886
497,280,3068.550624
498,371,3296.795166
499,362,4063.650097
500,379,3319.878037
501,372,4077.001866
502,320,3403.91564
503,411,4998.273912
504,613,9636.050067
505,267,2746.537377
507,409,5102.731868
508,341,3944.269577
509,386,4731.238536
510,350,4027.521782
511,501,7520.187415
512,332,3831.172241
515,282,2951.526298
516,282,2705.696673
517,682,7916.813487
518,426,3960.80542
519,384,3260.187776
520,485,6933.494986
521,299,2474.789613
522,685,11297.16718
523,264,2428.451121
524,332,3417.267409
525,259,2478.716604
526,898,3508.233643
527,675,2495.31958
528,366,2851.137695
529,314,2630.298449
530,334,3341.869185
531,317,3043.417883
532,474,6122.964082
533,794,9461.691674
534,287,2707.267469
535,580,2018.153687
536,805,13771.1714
537,424,5644.6566
538,333,3991.393466
539,816,14876.22661
540,433,5615.596868
541,464,6069.557007
542,406,4579.656691
543,345,1896.302979
544,406,5009.269486
545,348,2746.484619
546,456,6082.123377
547,377,4069.933283
548,418,5418.461929
549,529,7931.736052
550,389,5176.559295
551,257,1867.060181
552,478,4606.360228
553,564,5529.988468
554,328,3730.641276
555,456,6104.899924
556,273,2397.035195
557,887,11618.39503
559,331,3750.27623
561,237,2269.015294
562,391,4755.585879
563,500,4584.413574
565,310,3421.979798
566,341,3352.079361
567,225,1628.915791
568,2375,17131.23828
569,333,2845.497546
570,248,2077.378142
571,291,2502.207275
572,369,4749.302694
573,730,7036.129395
574,279,2746.537377
576,310,3414.911214
577,576,7957.654192
578,353,3919.136835
579,424,5417.676531
580,291,3873.583742
581,313,2180.280762
582,344,3805.254102
584,335,3601.050579
585,408,5394.899984
586,300,3136.094866
587,6699,351515.9436
588,391,4842.765076
589,517,6772.488363
590,400,5072.886737
591,2198,72160.02706
592,456,6038.14108
593,499,7454.213969
594,367,4302.411139
595,337,3253.904591
596,873,10954.73358
598,717,8342.499292
601,276,2346.769712
602,533,6418.273791
603,676,12466.62505
604,341,3476.172271
605,415,5578.683155
606,323,3584.557218
607,395,4274.136805
608,319,3341.869185
609,1168,5918.490234
611,774,9628.196085
612,247,1628.797485
613,397,4965.287189
614,1695,43493.77949
615,322,3662.311636
616,349,3645.818274
617,400,4627.565979
618,557,8433.605479
619,502,7127.488333
620,741,13450.72895
621,310,3691.371368
622,413,5666.647749
623,1355,23257.21041
624,323,3257.831582
625,371,4153.185488
626,225,1982.344964
627,420,4018.791504
628,419,5632.875628
629,391,3485.719482
630,761,7051.212891
631,634,6916.216227
632,520,7284.567966
633,351,4096.63682
634,370,3377.212103
635,426,5319.501761
636,356,4470.486346
637,8815,550882.9842
639,655,11489.58973
640,395,4369.169983
641,380,4195.596989
642,470,7041.879933
643,295,2988.440012
645,7938,485670.5893
646,838,3400.051758
647,412,5138.074785
648,553,8388.837783
649,620,7645.851121
650,1036,4157.932617
651,1064,4072.914795
652,280,3099.966551
653,461,4771.293843
654,393,4316.548306
655,285,2258.91748
656,301,2781.880295
657,373,4276.493
658,654,7116.492759
659,357,3255.166992
660,409,6357.012735
661,971,3422.969727
662,499,7510.762637
663,545,3068.275635
664,1538,11856.28125
666,329,3607.333764
667,300,3324.590426
668,376,4238.00849
669,381,4792.499593
670,309,3382.70989
671,301,3324.590426
672,647,6799.977299
673,311,3099.181153
675,300,3095.254162
676,310,3138.451061
678,374,4395.088122
679,325,1955.208374
680,323,3326.161222
681,431,5271.592473
682,681,7353.683004
683,349,3005.718771
684,471,5781.315881
685,476,6859.667559
686,355,3996.891254
687,390,4452.422188
688,311,3303.384675
689,571,8724.988197
690,313,2613.416748
691,462,6489.745024
692,316,3244.479813
693,268,2463.794039
696,517,7657.632093
697,242,2342.057323
699,456,4029.877976
700,362,3909.712057
701,441,5980.021616
702,315,2861.990907
703,288,2755.176757
704,406,5218.970796
705,281,3143.16345
706,406,4879.678789
707,326,1967.767212
708,422,5221.32699
710,228,1826.836128
711,393,4755.585879
712,408,5256.669908
713,473,6097.831341
714,288,3049.701068
715,310,3387.422279
716,501,4472.842541
718,428,5006.913292
719,325,3389.778473
720,2222,15712.08691
721,287,2828.218786
722,469,6445.762727
723,489,5509.568116
724,390,5376.835827
725,419,4952.720818
727,368,4566.304922
728,349,3621.470931
729,355,4190.099202
730,266,2810.154629
731,474,6491.31582
732,326,3318.30724
733,406,4944.866837
734,873,17673.81487
735,299,3238.196628
736,447,5643.085804
737,444,5593.60572
738,1171,5009.237305
739,512,7668.627667
740,671,2842.85083
741,410,4325.187686
742,444,5665.862351
743,410,4202.665572
744,457,6067.98621
745,586,2879.940186
746,486,2140.907227
747,545,7982.001535
748,1178,17796.33698
750,357,4835.696492
751,340,3499.734216
754,385,4764.225259
757,394,5030.475237
758,491,5633.661026
759,304,3004.147975
760,640,7680.40864
761,893,10688.25
762,329,2785.807286
763,335,3174.579376
764,448,5892.84242
765,1276,19941.25937
766,421,4764.225259
767,274,2784.236489
768,390,4366.813788
769,286,2276.869276
770,558,8458.73822
771,817,3410.173096
772,329,3399.203251
773,503,5705.917657
774,333,2083.06665
775,757,8435.961673
776,331,3834.313834
777,424,5746.758362
778,461,6203.860093
779,398,4664.479692
780,315,3853.948788
781,279,2488.92678
782,406,5146.714165
783,239,1855.89586
784,370,4288.273972
785,959,4954.577148
786,1247,16695.53906
787,877,5051.233398
788,1709,16992.27148
789,354,2975.873641
790,332,3476.172271
791,609,6750.497214
792,528,6318.528225
793,445,5542.554839
794,420,5625.021646
795,338,3385.851482
796,223,1859.822851
797,330,3602.621376
798,322,3612.831552
799,456,4919.734096
800,362,5060.320367
802,321,3672.521812
803,317,3786.404546
804,1373,5964.682129
805,488,6524.302543
806,305,3458.108113
807,369,4380.165557
808,286,2509.347132
809,477,4833.340298
810,429,5328.926539
811,350,4238.793888
812,3234,134626.67
813,480,6897.366671
814,384,3225.630257
816,420,4776.79163
819,298,2678.993135
820,385,4482.267319
821,273,2471.64802
822,516,7806.072346
824,288,2869.844889
825,464,6385.287068
826,10454,468691.4063
827,335,3926.205419
828,315,3385.851482
829,361,3841.382417
830,349,4017.311606
831,369,4543.528375
832,412,5582.610145
833,698,7839.844467
834,290,2676.636941
835,473,5540.984043
836,311,3107.035134
838,358,3729.07048
839,449,5814.302604
840,431,5815.8734
841,3567,35777.30078
842,353,3956.835947
843,451,6031.857895
844,365,4259.999638
845,337,3655.243052
846,364,4058.937708
847,307,3730.641276
848,320,3487.167845
850,538,6609.910943
851,473,6379.003883
853,385,4745.375703
855,285,2918.539575
856,504,6949.20295
857,340,4023.594791
858,283,2603.594912
859,504,4674.689869
860,490,5965.884449
861,380,3877.510733
862,340,3932.488604
863,260,2777.167906
864,490,6622.477314
865,368,4486.194309
867,507,1991.57605
868,258,2411.95776
870,448,2039.302124
871,359,3993.749661
872,469,6906.791449
873,494,6354.65654
874,379,4607.145626
875,235,1671.92688
876,316,3066.19443
877,361,4175.176637
878,526,5885.773837
879,280,2859.634713
880,232,884.3583984
882,480,6831.393225
885,412,5144.35797
886,769,12033.87066
887,422,5008.484088
888,359,3084.854248
889,385,3114.103718
890,464,4119.75293
891,383,4189.313804
892,890,11652.95255
893,328,3540.574921
894,268,2437.875899
895,1101,14471.74656
896,309,3087.40018
898,235,1917.942315
899,340,2824.525635
900,332,4021.238597
901,598,7301.061327
903,350,4504.258467
904,265,1194.400513
905,448,5980.021616
906,614,6846.31579
907,285,2648.362607
908,246,2137.853801
909,503,7312.056901
910,289,3012.787355
911,744,3049.490479
912,538,2262.339355
913,1025,21014.11326
914,433,5899.125605
917,281,2848.639139
918,318,3144.734246
919,386,4609.501821
920,568,3156.506104
921,604,6005.939756
922,511,7162.83125
923,388,3473.111572
924,272,2406.459973
925,496,5452.23405
926,1162,14003.66602
928,362,4031.448773
929,344,4147.687701
930,385,4041.658949
931,456,6060.917627
932,319,3485.597049
933,509,4589.866867
934,1074,9349.875
935,377,3298.215576
937,264,2357.765287
938,284,3158.086015
939,574,5761.304688
940,467,5827.654372
941,956,18821.28159
942,4519,96194.73438
943,339,4210.519554
944,507,7332.477253
945,285,2974.302845
947,391,5017.123468
948,311,3444.756345
949,742,8544.34662
950,381,4581.227487
951,253,2266.6591
952,496,5072.101339
953,398,3616.758542
954,254,2499.922354
955,462,6355.441938
956,339,3742.422249
957,380,4687.256239
959,7702,78740.24219
960,935,10536.49805
961,450,6855.740568
962,322,3674.092608
963,299,3343.439982
964,2148,19580.35938
965,384,4969.999578
966,803,14017.78642
967,9452,653920.94
968,238,2204.612645
969,419,3869.656751
970,472,6813.329067
971,763,3868.056396
972,463,6506.238386
974,376,4317.333704
975,830,13713.83733
978,667,4175.888184
979,323,3503.661207
980,490,6837.676411
981,548,2854.553467
982,288,2512.488725
984,448,4054.225319
985,299,2982.942225
986,370,4432.787234
987,314,3140.807255
988,416,5438.096883
990,522,7639.567935
991,280,2520.342706
992,245,1796.2056
993,351,3335.586
994,428,5632.875628
995,372,3722.787295
996,385,5411.393346
997,514,7707.897576
998,375,4153.970886
999,300,2266.289063
1000,448,6252.554779
1001,2141,27156.36719
1002,313,3466.747493
1003,524,7507.621044
1004,7381,422124.0239
1005,362,4417.864669
1006,417,3821.747463
1007,436,5686.282703
1008,381,4197.953183
1009,1391,33752.48607
1010,341,4593.00846
1011,5102,52087.3125
1012,350,3519.36917
1013,1834,8336.094727
1014,368,4497.975282
1016,290,2204.398438
1018,324,3000.220984
1019,378,4575.7297
1020,333,3450.254132
1021,428,5862.99729
1022,434,5417.676531
1023,828,11286.17161
1024,496,7442.432996
1025,415,5208.76062
1026,1338,5276.109375
1027,402,5161.63673
1030,303,3010.43116
1031,552,5983.163209
1033,467,1786.705078
1034,792,10896.61412
1035,408,4691.18323
1036,441,4278.849194
1037,381,3681.161192
1038,351,3569.634653
1039,260,2157.488755
1040,340,3703.937739
1041,395,4880.464187
1042,241,2042.035225
1043,341,4192.455396
1044,396,5031.260635
1045,348,2906.758603
1046,367,4076.216468
1047,320,3403.91564
1048,383,4614.21421
1049,413,5274.734065
1050,1013,3760.472412
1051,311,2326.34936
1052,301,2418.606934
1053,321,3125.88469
1054,580,8992.808971
1055,306,3099.966551
1056,342,2953.619141
1057,361,4425.718651
1058,474,6665.674213
1059,383,4833.340298
1060,607,5916.981934
1061,295,3439.258558
1063,231,1841.758693
1064,2650,75641.69712
1065,355,3149.750488
1066,351,4142.189914
1068,290,2172.666748
1069,380,4477.55493
1070,339,2570.608189
1071,381,4854.546048
1072,307,3425.121391
1073,463,6540.795905
1076,345,2955.453289
1077,497,7026.957368
1079,378,3222.623535
1082,385,4220.72973
1083,7006,154365.4219
1084,415,4172.035044
1085,419,5614.026072
1086,3772,150952.7416
1087,430,5420.818124
1088,529,8253.749299
1089,754,9014.014721
1090,470,6364.081318
1091,270,2353.052898
1092,387,4851.404455
1093,404,4994.346921
1094,364,4209.734156
1096,380,4473.627939
1097,340,3623.041728
1099,494,6581.636609
1100,405,5442.809272
1101,300,3176.935571
1102,337,3171.437784
1104,321,3030.066114
1105,319,3224.844859
1106,417,5366.62565
1107,407,4909.523919
1108,679,11513.93708
1109,324,2621.659069
1110,305,2950.7409
1111,382,4346.393436
1112,271,2667.997561
1113,328,3817.035074
1114,354,4042.444347
1115,297,3044.988679
